Candidate ID,Employment,YearsCode,DevType,OrgSize,LanguageHaveWorkedWith,LanguageAdmired,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OpSysPersonalUse,AISearchDevHaveWorkedWith,AIBen,AIComplex,AIToolCurrentlyUsing,AIEthics,AIChallenges,ICorPM,WorkExp,Frustration,ProfessionalTech,ProfessionalCloud,Industry,WeeklyAvailabilityHours,PersonalityText
1,"Independent contractor, freelancer, or self-employed",6,"Developer, full-stack",100 to 499 employees,Bash/Shell (all shells);C#;Dart;JavaScript;Python;Rust;TypeScript,Bash/Shell (all shells);Rust;TypeScript,Cloud Firestore;Dynamodb;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud;Netlify,Express;NestJS;Next.js;Node.js;React,Flutter;React Native,Docker;Godot;Kubernetes;npm;Unity 3D;Vite;Webpack;Yarn,Android Studio;Visual Studio;Visual Studio Code,Ubuntu;Windows Subsystem for Linux (WSL),ChatGPT,Increase productivity,Very poor at handling complex tasks,Writing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)",Individual contributor,4.0,Complexity of tech stack for deployment,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Healthcare,10–20,"This is roughly how I behave when I’m collaborating with others. For me a mix of chat and meetings works best, and I adapt to what the team needs. I naturally tend to take the lead and organize things when the team needs direction. I don’t like heavy arguments and tend to step back rather than fight. Clear deadlines motivate me and I try hard to stick to them. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together."
2,"Employed, full-time",20,Other (please specify):,"10,000 or more employees",Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;PowerShell;Rust;TypeScript,Dynamodb;PostgreSQL;SQLite,Amazon Web Services (AWS);Netlify,ASP.NET CORE;Flask;Next.js;Node.js;React,Apache Spark;Hugging Face Transformers;Roslyn,Chocolatey;Kubernetes;Make;npm;NuGet;Pip;pnpm;Terraform,Visual Studio Code,Fedora;iOS;Windows;Windows Subsystem for Linux (WSL),Bing AI;ChatGPT,Increase productivity;Greater efficiency;Speed up learning,"Good, but not great at handling complex tasks",Writing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness;Energy demand,Don’t trust the output or answers;Not everyone uses them,People manager,20.0,Number of software tools in use;Tracking my work;Showing my contributions,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Other:,10–20,"If I had to describe myself as a teammate, I’d say this: Most of the time I like working through written messages and updates instead of constant meetings. I like it when the team shares ownership and we make decisions together. I’d describe my natural team role as a Resource-Investigator: I’m curious and like exploring options and opportunities. When conflict appears I try to stay calm and avoid unnecessary confrontation. I try to give constructive feedback and I appreciate it in return. How strict I am with deadlines depends on the impact and the current workload."
3,"Employed, full-time",18,"Developer, back-end",2 to 9 employees,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,C#,Cosmos DB;Microsoft SQL Server;MongoDB;Redis;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;jQuery,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,MSBuild;NuGet;Visual Studio Solution,Visual Studio;Visual Studio Code,Android;Windows,Bing AI;GitHub Copilot;Visual Studio Intellicode,Increase productivity;Greater efficiency,Very poor at handling complex tasks,Writing code;Debugging and getting help;Search for answers,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,8.0,Amount of technical debt;Reliability of tools/systems used in work,Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,On-prem,Software Development,10–20,"If I had to describe myself as a teammate, I’d say this: I really value respect and clear communication in any team. I’m comfortable switching between async and sync communication to fit the situation. I naturally tend to take the lead and organize things when the team needs direction. In conflicts I often act as a mediator and try to understand all sides. Clear deadlines motivate me and I try hard to stick to them. I’d describe my natural team role as a Coordinator: I’m good at organizing and bringing people together."
4,"Employed, full-time",19,Academic researcher,10 to 19 employees,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Julia;Lua;Python,Bash/Shell (all shells);C;C++;JavaScript;Lua;Python,MongoDB;PostgreSQL;SQLite,Cloudflare;Google Cloud;Managed Hosting,Django;Flask;jQuery;Node.js;Vue.js,NumPy;Pandas;Scikit-Learn,Docker;Google Test;Make;npm,Emacs;IPython;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,ChromeOS;Ubuntu,ChatGPT;Claude;GitHub Copilot;Google Gemini;WolframAlpha,Increase productivity;Greater efficiency,Bad at handling complex tasks,Writing code;Documenting code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)",Individual contributor,12.0,Amount of technical debt;Tracking my work;Showing my contributions;Patching/updating core components;Reliability of tools/systems used in work,DevOps function;Automated testing;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Other:,10–20,"This is roughly how I behave when I’m collaborating with others. I’d describe my natural team role as a Implementer: I’m practical and like turning ideas into concrete steps. I like a balance of async messages and live discussions, depending on the task. How strict I am with deadlines depends on the impact and the current workload. In conflicts I often act as a mediator and try to understand all sides. I enjoy collaborating on direction instead of having a single strong leader."
5,"Employed, full-time",2,"Developer, back-end",10 to 19 employees,C#;JavaScript;MATLAB,C#,Microsoft SQL Server;MongoDB;PostgreSQL,Amazon Web Services (AWS);Google Cloud,ASP.NET;ASP.NET CORE;FastAPI,.NET (5+) ;RabbitMQ,Docker;NuGet,Rider;Visual Studio;Visual Studio Code,Ubuntu;Windows,ChatGPT;Google Gemini,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,"Good, but not great at handling complex tasks",Learning about a codebase;Project planning;Writing code;Committing and reviewing code;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks",Individual contributor,1.0,Tracking my work;Complexity of tech stack for build;Reliability of tools/systems used in work,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,10–20,"In group projects, this is pretty much my style: Most of the time I like working through written messages and updates instead of constant meetings. I enjoy collaborating on direction instead of having a single strong leader. I really value respect and clear communication in any team. When conflict appears I try to stay calm and avoid unnecessary confrontation. Clear deadlines motivate me and I try hard to stick to them. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
6,"Employed, full-time",25,"Developer, full-stack",20 to 99 employees,C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;HTML/CSS;JavaScript;PowerShell;SQL,Dynamodb;Microsoft SQL Server;Redis,Amazon Web Services (AWS),ASP.NET;jQuery,.NET Framework (1.0 - 4.8);Capacitor,MSBuild;Visual Studio Solution,Notepad++;Visual Studio,Windows,Visual Studio Intellicode,Increase productivity;Improve accuracy in coding,Bad at handling complex tasks,Writing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,26.0,Amount of technical debt,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,20–40,"In group projects, this is pretty much my style: Most of the time I like working through written messages and updates instead of constant meetings. I’m usually more comfortable supporting whoever is leading and doing my part reliably. I tend to step between viewpoints and look for a solution everyone can live with. I treat deadlines very seriously and plan my work so I don’t deliver late. I try to give constructive feedback and I appreciate it in return. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
7,"Employed, full-time",5,"Developer, full-stack",20 to 99 employees,C#;C++;Python;SQL;TypeScript,C#;C++;Python,MariaDB;MongoDB;MySQL;SQLite,"Google Cloud;Linode, now Akamai",Angular;ASP.NET CORE;Django;FastAPI;Flask;jQuery,.NET (5+) ;OpenGL,Ninja;Unity 3D,CLion;PyCharm;Qt Creator;Rider;Visual Studio Code;WebStorm,Android;Ubuntu;Windows,ChatGPT,Speed up learning,"Good, but not great at handling complex tasks",Learning about a codebase;Debugging and getting help;Committing and reviewing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Individual contributor,0.0,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,DevOps function;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,20–40,"Here’s how I usually work when I’m in a team. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. I like a balance of async messages and live discussions, depending on the task. I’m okay adjusting timelines if the scope changes and everyone is informed. In conflict I’m quite straightforward, as long as the discussion stays respectful. I prefer shared leadership where responsibilities and decisions are distributed."
8,"Employed, full-time",21,"Developer, back-end","10,000 or more employees",Bash/Shell (all shells);Go;Java;JavaScript;Lisp;Python;Rust;SQL;TypeScript,Lisp;Python;Rust;SQL,Couchbase;MariaDB;MySQL;Presto;SQLite,Microsoft Azure,Flask,Apache Kafka;Apache Spark;NumPy;Pandas;Scikit-Learn,Docker;Homebrew;Kubernetes;Nix;npm;Pip;Podman,Emacs;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Spacemacs;Vim,Arch;Debian;Other Linux-based;Ubuntu;Other (please specify):,ChatGPT;GitHub Copilot,Increase productivity;Speed up learning;Improve accuracy in coding,Very poor at handling complex tasks,Writing code;Documenting code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks;Other (please specify):;They create more work (more code/PRs to review, etc.)",Individual contributor,13.0,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,On-prem,Software Development,10–20,"If I had to describe myself as a teammate, I’d say this: I’d describe my natural team role as a Monitor-Evaluator: I’m analytical and tend to look at pros and cons. I enjoy synchronous communication and like to jump on a call to sort things out fast. For me it’s important that everyone feels heard and included. I see deadlines more as guides and like to keep them realistic and negotiable. I don’t like heavy arguments and tend to step back rather than fight. I don’t need to be the one in charge; I prefer being a dependable contributor."
9,"Employed, full-time;Independent contractor, freelancer, or self-employed",13,"Developer, full-stack",20 to 99 employees,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Couchbase;Microsoft SQL Server,Microsoft Azure,ASP.NET;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8),Docker;Kubernetes;NuGet,Notepad++;Visual Studio;Visual Studio Code,Windows,GitHub Copilot,Increase productivity;Improve accuracy in coding,Neither good or bad at handling complex tasks,Writing code;Documenting code;Testing code;Committing and reviewing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks",Individual contributor,11.0,Complexity of tech stack for build;Patching/updating core components,DevOps function;Knowledge sharing community;Developer portal or other central places to find tools/services,Hybrid (on-prem and cloud),"Internet, Telecomm or Information Services",40+,"In group projects, this is pretty much my style: For me a mix of chat and meetings works best, and I adapt to what the team needs. I’m happy to step up, make decisions and keep everyone aligned when necessary. I’d describe my natural team role as a Implementer: I’m practical and like turning ideas into concrete steps. In conflicts I often act as a mediator and try to understand all sides. How strict I am with deadlines depends on the impact and the current workload."
10,"Employed, full-time",30,"Developer, full-stack","1,000 to 4,999 employees",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Java;JavaScript;SQL;TypeScript,Cockroachdb;Dynamodb;Elasticsearch;PostgreSQL;Presto;Redis,Amazon Web Services (AWS);Digital Ocean;Netlify,Gatsby;Next.js;Node.js;React;Spring Boot;Symfony,Apache Kafka;React Native;Spring Framework,Bun;Dagger;Docker;Homebrew;Kubernetes;npm;pnpm;Vite;Webpack;Yarn,IntelliJ IDEA;Visual Studio Code;Xcode,MacOS,ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning,Bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,25.0,Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Transportation, or Supply Chain",5–10,"Here’s how I usually work when I’m in a team. I like a balance of async messages and live discussions, depending on the task. I often end up taking ownership of tasks and nudging the team forward. I don’t like heavy arguments and tend to step back rather than fight. I’m okay adjusting timelines if the scope changes and everyone is informed. For me it’s important that everyone feels heard and included. I’d describe my natural team role as a Coordinator: I’m good at organizing and bringing people together."
